FundingOrgName,LeadROName,ProjectReference,ProjectCategory,PISurname,PIFirstName,PIOtherNames,Title,StartDate,EndDate,AwardPounds,ExpenditurePounds,FundingOrgId,LeadROId,PIId,ProjectId,GTRProjectUrl
STFC,University of Oxford,ST/L003422/1,Research Grant,Harnew,Neville,,Capital Equipment at Oxford Physics,01/01/2014,31/03/2015,123180,,D7F4F462-0518-4784-908A-D12633C139B3,3EAE04CA-9D62-4483-B9C4-F91AD9F4C5A9,13A0475A-5269-4BE8-A0F2-E65D5A6AEADB,860B8CBF-547D-4FC7-AB9C-D36556E96278,http://gtr.rcuk.ac.uk:80/project/860B8CBF-547D-4FC7-AB9C-D36556E96278
STFC,University College London,ST/F008260/1,Fellowship,Ercolano,Barbara,,Effects of radiation feedback on Star and Planet Formation,30/03/2009,29/04/2010,410179,,D7F4F462-0518-4784-908A-D12633C139B3,3A5E126D-C175-4730-9B7B-E6D8CF447F83,842323E5-3508-45B3-9213-42D91E89A3DC,CA3B3607-1111-47BB-9F53-D12C6FF6F14F,http://gtr.rcuk.ac.uk:80/project/CA3B3607-1111-47BB-9F53-D12C6FF6F14F
STFC,York Museums Trust,ST/J500239/1,Research Grant,Lees,Gaby,,York Museums Trust Observatory,27/10/2011,26/05/2012,2900,,D7F4F462-0518-4784-908A-D12633C139B3,84BF7EBD-8AFC-471F-B484-5770B943B36A,37400406-989E-4209-8CA0-03E25283449F,82BC2BE7-55A8-48D5-955B-BEFE0D45ACE1,http://gtr.rcuk.ac.uk:80/project/82BC2BE7-55A8-48D5-955B-BEFE0D45ACE1
STFC,University of Cambridge,ST/M003175/1,Research Grant,Walton,Nicholas,Andrew,WEAVE: The next generation wide-field spectroscopy facility for the WHT (Cambridge Element: 2014/17),01/04/2014,31/05/2017,347227,,D7F4F462-0518-4784-908A-D12633C139B3,D1774113-D5D2-4B7C-A412-66A90FE4B96F,DACFFDB4-A35F-4114-BCEF-7D90964BA80C,9BAD86C2-CFA0-4D75-A008-D571EDA269C8,http://gtr.rcuk.ac.uk:80/project/9BAD86C2-CFA0-4D75-A008-D571EDA269C8
STFC,University of Hertfordshire,ST/M001008/1,Research Grant,Drew,Janet,Elizabeth,Hertfordshire Astronomy 2015-18,01/04/2015,31/03/2018,2164850,,D7F4F462-0518-4784-908A-D12633C139B3,5E589D68-A73C-42BB-892C-BC508C7B60CA,86221191-C584-4E67-8D1E-C2979C947046,E5AA7FE0-4ADC-4597-89C6-C3402947B026,http://gtr.rcuk.ac.uk:80/project/E5AA7FE0-4ADC-4597-89C6-C3402947B026
STFC,University of Oxford,ST/N001109/1,Research Grant,Donaldson Hanna,Kerri,,Understanding the Building Blocks of Solar System Primitive Bodies in Anticipation of Asteroid and Mars Sample Return,01/10/2015,30/09/2018,315861,,D7F4F462-0518-4784-908A-D12633C139B3,3EAE04CA-9D62-4483-B9C4-F91AD9F4C5A9,45C347CA-C9F2-466C-AD26-0079A23ADDAC,1E9A04B9-BC2C-49AE-8B64-D267DDF7DB68,http://gtr.rcuk.ac.uk:80/project/1E9A04B9-BC2C-49AE-8B64-D267DDF7DB68
STFC,University of Leicester,ST/J000078/1,Research Grant,West,Richard,,Bridging for WASP 2011,01/04/2011,31/03/2012,35525,,D7F4F462-0518-4784-908A-D12633C139B3,C842A34F-18F7-454D-A259-FED802368496,1E1E1CC1-97BE-4171-8B41-F8BAC813718F,2E64389A-08F6-4A51-84C7-D4E96C6D3A71,http://gtr.rcuk.ac.uk:80/project/2E64389A-08F6-4A51-84C7-D4E96C6D3A71
STFC,Open University,ST/H003665/1,Research Grant,Sheridan,Simon,,"A high resolution, high sensitivity miniature mass spectrometer for deployment by penetrators",01/01/2010,31/12/2010,126355,,D7F4F462-0518-4784-908A-D12633C139B3,89E6D9CB-DAF8-40A2-A9EF-B330A5A7FC24,5DFFE67B-AB7E-4446-AB1F-84D1C32DD65B,D03BBB27-BCF2-4044-8D53-D762B979AA8F,http://gtr.rcuk.ac.uk:80/project/D03BBB27-BCF2-4044-8D53-D762B979AA8F
STFC,University College London,ST/L001683/1,Research Grant,Coates,Andrew,John,Cassini CAPS ELS Post-Launch Support,01/01/2013,30/09/2014,129688,,D7F4F462-0518-4784-908A-D12633C139B3,3A5E126D-C175-4730-9B7B-E6D8CF447F83,7BBA7EFB-6519-45EE-8FA2-FCF1519FF9E1,1BD7CC59-11A0-4AAD-AB25-C800832DB9B7,http://gtr.rcuk.ac.uk:80/project/1BD7CC59-11A0-4AAD-AB25-C800832DB9B7
STFC,University of Leicester,ST/K003933/1,Research Grant,Lees,John,Ernest,In Situ Oil Analysis in Real Time,30/09/2013,31/03/2015,88361,,D7F4F462-0518-4784-908A-D12633C139B3,C842A34F-18F7-454D-A259-FED802368496,9DD62DAC-6379-4C01-A39C-33A593CC3FAC,E0FE3C5B-EF28-4DB4-8592-D7FC61C8E9C3,http://gtr.rcuk.ac.uk:80/project/E0FE3C5B-EF28-4DB4-8592-D7FC61C8E9C3
